# profile	crate	removal_target	reason
default	pingora	1.6.13	Root proxy/runtime still uses Pingora.
default	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
default	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
default	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
default	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
default	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
default	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
default	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
default	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
default	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
default	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
default	pingora-timeout	1.6.13	Transitive through Pingora runtime.
full	pingora	1.6.13	Root proxy/runtime still uses Pingora.
full	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
full	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
full	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
full	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
full	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
full	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
full	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
full	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
full	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
full	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
full	pingora-timeout	1.6.13	Transitive through Pingora runtime.
cache-edge	pingora	1.6.13	Root proxy/runtime still uses Pingora.
cache-edge	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
cache-edge	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
cache-edge	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
cache-edge	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
cache-edge	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
cache-edge	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
cache-edge	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
cache-edge	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
cache-edge	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
cache-edge	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
cache-edge	pingora-timeout	1.6.13	Transitive through Pingora runtime.
proxy-edge	pingora	1.6.13	Root proxy/runtime still uses Pingora.
proxy-edge	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
proxy-edge	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
proxy-edge	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
proxy-edge	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
proxy-edge	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
proxy-edge	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
proxy-edge	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
proxy-edge	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
proxy-edge	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
proxy-edge	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
proxy-edge	pingora-timeout	1.6.13	Transitive through Pingora runtime.
load-balancer-edge	pingora	1.6.13	Root proxy/runtime still uses Pingora.
load-balancer-edge	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
load-balancer-edge	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
load-balancer-edge	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
load-balancer-edge	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
load-balancer-edge	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
load-balancer-edge	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
load-balancer-edge	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
load-balancer-edge	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
load-balancer-edge	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
load-balancer-edge	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
load-balancer-edge	pingora-timeout	1.6.13	Transitive through Pingora runtime.
php	pingora	1.6.13	Root proxy/runtime still uses Pingora.
php	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
php	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
php	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
php	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
php	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
php	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
php	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
php	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
php	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
php	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
php	pingora-timeout	1.6.13	Transitive through Pingora runtime.
privacy	pingora	1.6.13	Root proxy/runtime still uses Pingora.
privacy	pingora-cache	1.6.13	Transitive through Pingora proxy runtime until native HTTP cutover.
privacy	pingora-core	1.6.13	Transitive through Pingora proxy/runtime.
privacy	pingora-error	1.6.5	Internal error adapters still bridge Pingora errors.
privacy	pingora-header-serde	1.6.13	Transitive through Pingora HTTP/runtime.
privacy	pingora-http	1.6.5	Internal HTTP adapters still bridge Pingora HTTP types.
privacy	pingora-lru	1.6.13	Transitive through Pingora runtime/cache.
privacy	pingora-pool	1.6.12	Upstream pooling still uses Pingora runtime path.
privacy	pingora-proxy	1.6.11	HTTP proxy lifecycle still uses Pingora ProxyHttp.
privacy	pingora-runtime	1.6.7	Server bootstrap still uses Pingora runtime.
privacy	pingora-rustls	1.6.6	TLS listener path still uses Pingora rustls adapter.
privacy	pingora-timeout	1.6.13	Transitive through Pingora runtime.
